,index,LC_grouping,Year,intersection,climate,health,sum
0,0,Asia,2011,14.0,501.0,1055.0,1570.0
1,1,Asia,2012,21.0,585.0,1466.0,2072.0
2,2,Asia,2013,27.0,632.0,1092.0,1751.0
3,3,Asia,2014,38.0,757.0,1294.0,2089.0
4,4,Asia,2015,47.0,596.0,1420.0,2063.0
5,5,Asia,2016,63.0,828.0,1779.0,2670.0
6,6,Asia,2017,49.0,671.0,1344.0,2064.0
7,7,Asia,2018,75.0,922.0,1396.0,2393.0
8,8,Asia,2019,83.0,1087.0,1629.0,2799.0
9,9,Asia,2020,133.0,1253.0,2196.0,3582.0
10,10,Asia,2021,442.0,2655.0,5020.0,8117.0
11,11,Asia,2022,363.0,3026.0,4584.0,7973.0
