,Sector,intersection,health,climate
0,Alternative Energy,5.0,32.0,123.0
1,Automobiles & Parts,1.0,26.0,17.0
2,Construction & Materials,3.67,8.67,7.33
3,Diversified,0.17,19.33,5.67
4,"Gas, Water & Multiutilities",0.0,7.0,17.0
5,General Industrials,2.0,114.0,15.0
6,General Retailers,2.0,51.0,26.0
7,Industrial Transportation,0.0,1.0,0.0
8,Media,0.0,5.0,17.0
9,Mining,8.0,222.0,70.0
10,Mobile Telecommunications,0.5,39.0,6.5
11,Personal Goods,1.0,39.0,7.0
12,Real Estate Investment & Se...,0.0,84.0,107.0
13,Software & Computer Services,0.0,0.5,0.5
14,Support Services,0.27,9.36,3.27
15,Travel & Leisure,0.0,3.0,1.0
