,Sector,intersection,health,climate
0,Aerospace & Defense,0.0,0.0,0.0
1,Automobiles & Parts,2.2,23.0,17.2
2,Banks,9.0,103.33,178.33
3,Beverages,3.0,45.67,20.67
4,Chemicals,9.05,83.5,66.9
5,Construction & Materials,9.21,29.36,37.93
6,Diversified,1.5,24.17,18.6
7,Electronic & Electrical Equ...,3.8,48.8,41.0
8,Equity Investment Instruments,1.0,20.0,32.0
9,Financial Services,3.39,24.78,43.0
10,Fixed Line Telecommunications,2.0,41.0,17.0
11,Food Producers,4.0,68.88,27.25
12,Forestry & Paper,3.0,30.0,23.0
13,General Industrials,3.08,32.67,20.5
14,General Retailers,2.25,36.25,36.25
15,Health Care Equipment & Ser...,6.25,56.33,16.42
16,Household Goods & Home Cons...,2.25,56.0,51.75
17,Industrial Engineering,0.0,6.0,3.0
18,Industrial Metals & Mining,1.0,3.0,6.0
19,Industrial Transportation,0.5,5.0,15.5
20,Leisure Goods,2.0,51.0,34.0
21,Media,1.0,14.83,6.33
22,Mining,2.67,56.0,31.33
23,Mobile Telecommunications,1.0,29.33,47.33
24,Nonlife Insurance,0.0,9.0,4.0
25,Oil & Gas Producers,6.75,74.5,81.5
26,"Oil Equipment, Services & D...",2.0,3.0,11.5
27,Personal Goods,4.38,68.38,43.75
28,Pharmaceuticals & Biotechno...,11.0,175.83,29.25
29,Real Estate Investment & Se...,0.2,21.2,10.6
30,Real Estate Investment Trusts,1.0,12.0,93.0
31,Software & Computer Services,3.56,28.06,24.72
32,Support Services,1.93,21.81,29.37
33,Technology Hardware & Equip...,2.38,33.0,25.38
34,Travel & Leisure,1.0,23.4,43.0
