,Year,LC_grouping,Climate,Health,Intersection
0,2011,Northern America,0.72,0.8,0.27
1,2012,Northern America,0.64,0.8,0.24
2,2013,Northern America,0.62,0.78,0.28
3,2014,Northern America,0.6,0.79,0.21
4,2015,Northern America,0.62,0.81,0.25
5,2016,Northern America,0.66,0.83,0.27
6,2017,Northern America,0.77,0.84,0.33
7,2018,Northern America,0.72,0.82,0.32
8,2019,Northern America,0.72,0.83,0.33
9,2020,Northern America,0.84,0.89,0.43
10,2021,Northern America,0.88,0.9,0.58
11,2022,Northern America,0.83,0.87,0.57
