,Sector,intersection,climate,health
0,Beverages,0.0,4.0,11.0
1,Construction & Materials,0.0,0.0,3.0
2,Electronic & Electrical Equ...,1.0,2.0,9.0
3,Financial Services,0.0,5.0,1.0
4,Food Producers,0.0,1.0,5.0
5,"Gas, Water & Multiutilities",0.0,0.0,0.0
6,General Industrials,0.0,0.0,10.0
7,Household Goods & Home Cons...,0.0,0.0,2.0
8,Industrial Engineering,0.0,1.0,3.0
9,Oil & Gas Producers,0.0,7.0,21.0
10,Personal Goods,1.0,7.0,69.0
11,Software & Computer Services,7.0,8.0,33.0
12,Support Services,0.0,0.0,9.0
