,Sector,intersection,health,climate
0,Aerospace & Defense,1.05,42.43,12.86
1,Alternative Energy,2.47,26.03,20.15
2,Automobiles & Parts,1.98,47.02,27.02
3,Banks,3.45,62.09,39.14
4,Basic Resources,0.0,1.0,1.0
5,Beverages,2.46,43.04,27.21
6,Chemicals,3.05,48.83,15.06
7,Construction & Materials,1.18,33.2,12.72
8,Diversified,1.19,22.73,10.31
9,Electricity,3.24,46.6,44.07
10,Electronic & Electrical Equ...,0.79,16.43,8.05
11,Equity Investment Instruments,2.93,32.64,17.07
12,Financial Services,1.97,33.42,23.17
13,Fixed Line Telecommunications,1.09,35.59,15.05
14,Food & Drug Retailers,1.4,59.4,13.65
15,Food Producers,2.07,33.18,12.4
16,Forestry & Paper,4.62,51.21,31.25
17,"Gas, Water & Multiutilities",3.0,43.0,21.07
18,General Industrials,1.22,24.56,9.78
19,General Retailers,1.13,30.48,10.22
20,Health Care Equipment & Ser...,2.2,74.19,10.22
21,Household Goods & Home Cons...,1.97,40.93,16.5
22,Industrial Engineering,1.23,24.85,10.46
23,Industrial Goods & Services,0.0,15.83,2.33
24,Industrial Metals & Mining,2.8,48.66,22.57
25,Industrial Transportation,1.83,30.29,14.62
26,Leisure Goods,0.55,24.65,10.15
27,Life Insurance,2.0,44.79,18.36
28,Media,0.69,18.7,6.32
29,Mining,2.0,42.62,12.62
30,Mobile Telecommunications,2.94,55.89,20.94
31,Nonequity Investment Instru...,1.5,34.0,28.0
32,Nonlife Insurance,3.06,52.91,21.2
33,Not Applicable,0.0,3.67,1.33
34,Oil & Gas Producers,3.55,47.32,30.47
35,"Oil Equipment, Services & D...",2.12,28.48,17.88
36,Other,0.0,10.5,2.0
37,Personal Goods,1.25,31.11,10.85
38,Pharmaceuticals & Biotechno...,3.58,74.35,12.15
39,Real Estate Investment & Se...,1.88,42.25,20.34
40,Real Estate Investment Trusts,3.43,52.71,36.29
41,Retail,0.0,23.33,2.0
42,Software & Computer Services,0.48,13.46,5.51
43,Support Services,0.63,16.23,5.96
44,Technology Hardware & Equip...,1.01,20.15,8.0
45,Travel & Leisure,1.26,37.07,14.98
