,index,LC_grouping,Year,intersection,climate,health,sum
0,0,Asia,2011,14.0,501.0,1057.0,1572.0
1,1,Asia,2012,21.0,586.0,1472.0,2079.0
2,2,Asia,2013,27.0,633.0,1111.0,1771.0
3,3,Asia,2014,38.0,757.0,1294.0,2089.0
4,4,Asia,2015,47.0,597.0,1433.0,2077.0
5,5,Asia,2016,63.0,829.0,1790.0,2682.0
6,6,Asia,2017,49.0,671.0,1354.0,2074.0
7,7,Asia,2018,75.0,923.0,1430.0,2428.0
8,8,Asia,2019,87.0,1094.0,1711.0,2892.0
9,9,Asia,2020,136.0,1259.0,2248.0,3643.0
10,10,Asia,2021,446.0,2660.0,5123.0,8229.0
11,11,Asia,2022,364.0,3032.0,4669.0,8065.0
12,12,Europe,2011,564.0,8692.0,18304.0,27560.0
13,13,Europe,2012,586.0,9926.0,22526.0,33038.0
14,14,Europe,2013,646.0,10166.0,23043.0,33855.0
15,15,Europe,2014,622.0,10954.0,24578.0,36154.0
16,16,Europe,2015,609.0,10386.0,24696.0,35691.0
17,17,Europe,2016,742.0,11644.0,26022.0,38408.0
18,18,Europe,2017,915.0,12325.0,27368.0,40608.0
19,19,Europe,2018,866.0,13009.0,31085.0,44960.0
20,20,Europe,2019,1182.0,17070.0,35316.0,53568.0
21,21,Europe,2020,1561.0,21542.0,39183.0,62286.0
22,22,Europe,2021,4398.0,39606.0,92411.0,136415.0
23,23,Europe,2022,4950.0,56933.0,94959.0,156842.0
