,WHO,Year,intersection,climate,health,sum,Sector
0,Europe,2011,0.0,18.0,203.0,221.0,Health Care Equipment & Ser...
1,Europe,2012,3.0,39.0,373.0,415.0,Health Care Equipment & Ser...
2,Europe,2013,0.0,59.0,748.0,807.0,Health Care Equipment & Ser...
3,Europe,2014,9.0,84.0,1095.0,1188.0,Health Care Equipment & Ser...
4,Europe,2015,8.0,110.0,1256.0,1374.0,Health Care Equipment & Ser...
5,Europe,2016,3.0,115.0,1024.0,1142.0,Health Care Equipment & Ser...
6,Europe,2017,10.0,161.0,1613.0,1784.0,Health Care Equipment & Ser...
7,Europe,2018,28.0,178.0,1913.0,2119.0,Health Care Equipment & Ser...
8,Europe,2019,26.0,212.0,1342.0,1580.0,Health Care Equipment & Ser...
9,Europe,2020,58.0,262.0,2033.0,2353.0,Health Care Equipment & Ser...
10,Europe,2021,141.0,654.0,4748.0,5543.0,Health Care Equipment & Ser...
11,Europe,2022,161.0,822.0,4748.0,5731.0,Health Care Equipment & Ser...
