,Sector,intersection,health,climate
0,Aerospace & Defense,2.79,57.93,18.64
1,Alternative Energy,2.64,22.08,19.18
2,Automobiles & Parts,3.15,52.91,43.48
3,Banks,2.83,52.47,36.0
4,Basic Resources,0.0,0.0,0.0
5,Beverages,3.17,68.56,30.75
6,Chemicals,4.42,64.51,31.84
7,Construction & Materials,2.16,42.79,24.12
8,Diversified,2.04,42.9,16.17
9,Electricity,5.02,84.65,60.33
10,Electronic & Electrical Equ...,1.88,33.72,19.96
11,Equity Investment Instruments,1.0,13.71,12.43
12,Financial Services,2.53,35.88,35.17
13,Fixed Line Telecommunications,1.35,38.0,14.0
14,Food & Drug Retailers,7.67,129.08,51.75
15,Food Producers,3.22,51.78,14.81
16,Forestry & Paper,3.66,53.06,30.56
17,"Gas, Water & Multiutilities",2.31,52.12,33.94
18,General Industrials,2.0,34.65,16.01
19,General Retailers,1.74,45.09,20.75
20,Health Care Equipment & Ser...,2.16,75.25,9.8
21,Household Goods & Home Cons...,3.5,87.24,44.05
22,Industrial Engineering,2.45,36.54,20.85
23,Industrial Metals & Mining,4.41,72.09,36.17
24,Industrial Transportation,3.17,40.83,21.27
25,Leisure Goods,1.06,33.75,21.0
26,Life Insurance,4.88,56.19,28.81
27,Media,1.18,23.16,10.8
28,Mining,6.86,107.0,62.14
29,Mobile Telecommunications,3.55,64.28,27.4
30,Nonequity Investment Instru...,1.0,24.0,18.67
31,Nonlife Insurance,2.71,39.49,20.49
32,Oil & Gas Producers,4.67,61.69,50.55
33,"Oil Equipment, Services & D...",1.92,26.24,16.87
34,Personal Goods,1.62,38.32,14.86
35,Pharmaceuticals & Biotechno...,6.8,104.99,19.32
36,Real Estate Investment & Se...,3.13,59.01,30.17
37,Real Estate Investment Trusts,2.73,50.67,38.6
38,Retail,0.0,1.0,0.0
39,Software & Computer Services,1.45,22.93,12.43
40,Support Services,1.14,21.39,10.37
41,Technology Hardware & Equip...,1.81,33.93,18.81
42,Travel & Leisure,1.73,35.24,15.94
