,Year,LC_grouping,Climate,Health,Intersection
0,2011,Africa,1.0,1.0,0.0
4,2012,Africa,1.0,1.0,1.0
9,2013,Africa,0.0,1.0,0.0
14,2014,Africa,0.25,1.0,0.25
19,2015,Africa,0.4,1.0,0.2
24,2016,Africa,0.25,1.0,0.25
28,2017,Africa,0.0,1.0,0.0
33,2018,Africa,0.25,1.0,0.25
39,2019,Africa,0.17,1.0,0.17
45,2020,Africa,0.33,1.0,0.33
50,2021,Africa,0.5,1.0,0.5
56,2022,Africa,0.5,1.0,0.25
1,2011,Asia,0.62,1.0,0.0
5,2012,Asia,0.25,1.0,0.0
10,2013,Asia,0.56,0.78,0.11
15,2014,Asia,0.29,0.86,0.14
20,2015,Asia,0.4,1.0,0.2
25,2016,Asia,0.86,0.86,0.43
29,2017,Asia,0.57,0.71,0.14
34,2018,Asia,0.83,1.0,0.33
40,2019,Asia,0.67,0.83,0.17
46,2020,Asia,0.86,1.0,0.29
51,2021,Asia,0.42,0.92,0.17
57,2022,Asia,0.6,0.9,0.4
2,2011,Europe,0.5,1.0,0.0
6,2012,Europe,0.33,0.89,0.0
11,2013,Europe,0.19,0.88,0.0
16,2014,Europe,0.31,0.88,0.12
21,2015,Europe,0.5,1.0,0.14
26,2016,Europe,0.28,0.83,0.06
30,2017,Europe,0.48,0.95,0.0
35,2018,Europe,0.65,0.95,0.3
41,2019,Europe,0.65,1.0,0.3
47,2020,Europe,0.63,0.87,0.33
52,2021,Europe,0.84,0.97,0.46
58,2022,Europe,0.79,0.88,0.52
3,2011,Northern America,1.0,1.0,0.0
7,2012,Northern America,0.67,1.0,0.33
12,2013,Northern America,0.0,0.75,0.0
17,2014,Northern America,0.5,0.5,0.0
22,2015,Northern America,0.0,1.0,0.0
31,2017,Northern America,1.0,1.0,1.0
36,2018,Northern America,1.0,1.0,1.0
42,2019,Northern America,1.0,1.0,0.33
48,2020,Northern America,0.75,1.0,0.25
53,2021,Northern America,0.9,1.0,0.7
59,2022,Northern America,0.67,0.92,0.58
54,2021,Oceania,1.0,1.0,1.0
60,2022,Oceania,0.5,1.0,0.5
37,2018,SIDS,1.0,1.0,0.0
43,2019,SIDS,1.0,1.0,1.0
8,2012,South and Central America,0.5,0.5,0.5
13,2013,South and Central America,0.33,0.33,0.0
18,2014,South and Central America,0.0,0.0,0.0
23,2015,South and Central America,0.2,0.4,0.0
27,2016,South and Central America,0.0,0.0,0.0
32,2017,South and Central America,0.0,0.0,0.0
38,2018,South and Central America,0.5,0.25,0.0
44,2019,South and Central America,0.67,0.67,0.0
49,2020,South and Central America,0.67,0.67,0.0
55,2021,South and Central America,0.2,0.4,0.2
61,2022,South and Central America,1.0,1.0,1.0
