,WHO,Year,intersection,climate,health,sum,Sector
0,Africa,2011,0.0,1.0,49.0,50.0,Health Care Equipment & Ser...
1,Africa,2012,1.0,3.0,116.0,120.0,Health Care Equipment & Ser...
2,Africa,2013,0.0,0.0,87.0,87.0,Health Care Equipment & Ser...
3,Africa,2014,44.0,24.0,202.0,270.0,Health Care Equipment & Ser...
4,Africa,2015,12.0,32.0,177.0,221.0,Health Care Equipment & Ser...
5,Africa,2016,2.0,2.0,54.0,58.0,Health Care Equipment & Ser...
6,Africa,2017,0.0,0.0,9.0,9.0,Health Care Equipment & Ser...
7,Africa,2018,1.0,8.0,107.0,116.0,Health Care Equipment & Ser...
8,Africa,2019,3.0,33.0,149.0,185.0,Health Care Equipment & Ser...
9,Africa,2020,2.0,19.0,68.0,89.0,Health Care Equipment & Ser...
10,Africa,2021,12.0,22.0,155.0,189.0,Health Care Equipment & Ser...
11,Africa,2022,1.0,5.0,90.0,96.0,Health Care Equipment & Ser...
12,Americas,2011,0.0,4.0,82.0,86.0,Health Care Equipment & Ser...
13,Americas,2012,4.0,19.0,196.0,219.0,Health Care Equipment & Ser...
14,Americas,2013,0.0,4.0,229.0,233.0,Health Care Equipment & Ser...
15,Americas,2014,0.0,2.0,89.0,91.0,Health Care Equipment & Ser...
16,Americas,2015,0.0,3.0,265.0,268.0,Health Care Equipment & Ser...
17,Americas,2016,0.0,0.0,0.0,0.0,Health Care Equipment & Ser...
18,Americas,2017,2.0,29.0,42.0,73.0,Health Care Equipment & Ser...
19,Americas,2018,9.0,27.0,80.0,116.0,Health Care Equipment & Ser...
20,Americas,2019,13.0,41.0,722.0,776.0,Health Care Equipment & Ser...
21,Americas,2020,1.0,18.0,288.0,307.0,Health Care Equipment & Ser...
22,Americas,2021,30.0,172.0,1164.0,1366.0,Health Care Equipment & Ser...
23,Americas,2022,155.0,318.0,1243.0,1716.0,Health Care Equipment & Ser...
24,Eastern Mediterranean,2011,0.0,0.0,11.0,11.0,Health Care Equipment & Ser...
25,Eastern Mediterranean,2012,0.0,0.0,9.0,9.0,Health Care Equipment & Ser...
26,Eastern Mediterranean,2013,0.0,6.0,195.0,201.0,Health Care Equipment & Ser...
27,Eastern Mediterranean,2014,0.0,0.0,2.0,2.0,Health Care Equipment & Ser...
28,Eastern Mediterranean,2015,0.0,0.0,3.0,3.0,Health Care Equipment & Ser...
29,Eastern Mediterranean,2020,0.0,0.0,6.0,6.0,Health Care Equipment & Ser...
30,Eastern Mediterranean,2021,0.0,0.0,13.0,13.0,Health Care Equipment & Ser...
31,Europe,2011,0.0,8.0,71.0,79.0,Health Care Equipment & Ser...
32,Europe,2012,0.0,11.0,116.0,127.0,Health Care Equipment & Ser...
33,Europe,2013,0.0,22.0,253.0,275.0,Health Care Equipment & Ser...
34,Europe,2014,9.0,52.0,613.0,674.0,Health Care Equipment & Ser...
35,Europe,2015,3.0,57.0,437.0,497.0,Health Care Equipment & Ser...
36,Europe,2016,2.0,57.0,456.0,515.0,Health Care Equipment & Ser...
37,Europe,2017,0.0,97.0,524.0,621.0,Health Care Equipment & Ser...
38,Europe,2018,24.0,136.0,1032.0,1192.0,Health Care Equipment & Ser...
39,Europe,2019,21.0,169.0,774.0,964.0,Health Care Equipment & Ser...
40,Europe,2020,26.0,187.0,1043.0,1256.0,Health Care Equipment & Ser...
41,Europe,2021,65.0,376.0,3086.0,3527.0,Health Care Equipment & Ser...
42,Europe,2022,139.0,645.0,3625.0,4409.0,Health Care Equipment & Ser...
43,South-East Asia,2011,0.0,2.0,46.0,48.0,Health Care Equipment & Ser...
44,South-East Asia,2012,0.0,0.0,4.0,4.0,Health Care Equipment & Ser...
45,South-East Asia,2013,0.0,0.0,0.0,0.0,Health Care Equipment & Ser...
46,South-East Asia,2014,0.0,0.0,113.0,113.0,Health Care Equipment & Ser...
47,South-East Asia,2015,0.0,0.0,172.0,172.0,Health Care Equipment & Ser...
48,South-East Asia,2016,0.0,10.0,44.0,54.0,Health Care Equipment & Ser...
49,South-East Asia,2017,0.0,10.0,48.0,58.0,Health Care Equipment & Ser...
50,South-East Asia,2018,0.0,10.0,46.0,56.0,Health Care Equipment & Ser...
51,South-East Asia,2019,0.0,10.0,61.0,71.0,Health Care Equipment & Ser...
52,South-East Asia,2020,2.0,6.0,9.0,17.0,Health Care Equipment & Ser...
53,South-East Asia,2021,0.0,3.0,113.0,116.0,Health Care Equipment & Ser...
54,South-East Asia,2022,0.0,0.0,43.0,43.0,Health Care Equipment & Ser...
55,Western Pacific,2011,0.0,18.0,198.0,216.0,Health Care Equipment & Ser...
56,Western Pacific,2012,0.0,15.0,114.0,129.0,Health Care Equipment & Ser...
57,Western Pacific,2013,23.0,42.0,250.0,315.0,Health Care Equipment & Ser...
58,Western Pacific,2014,10.0,32.0,336.0,378.0,Health Care Equipment & Ser...
59,Western Pacific,2015,9.0,34.0,334.0,377.0,Health Care Equipment & Ser...
60,Western Pacific,2016,19.0,30.0,340.0,389.0,Health Care Equipment & Ser...
61,Western Pacific,2017,2.0,39.0,276.0,317.0,Health Care Equipment & Ser...
62,Western Pacific,2018,13.0,78.0,609.0,700.0,Health Care Equipment & Ser...
63,Western Pacific,2019,3.0,14.0,34.0,51.0,Health Care Equipment & Ser...
64,Western Pacific,2020,5.0,47.0,367.0,419.0,Health Care Equipment & Ser...
65,Western Pacific,2021,42.0,103.0,661.0,806.0,Health Care Equipment & Ser...
66,Western Pacific,2022,80.0,229.0,826.0,1135.0,Health Care Equipment & Ser...
