,SIDS,Year,intersection,climate,health,sum
12,SIDS,2011,18.0,218.0,432.0,668.0
13,SIDS,2012,18.0,365.0,554.0,937.0
14,SIDS,2013,15.0,306.0,642.0,963.0
15,SIDS,2014,16.0,282.0,506.0,804.0
16,SIDS,2015,17.0,289.0,501.0,807.0
17,SIDS,2016,30.0,212.0,358.0,600.0
18,SIDS,2017,26.0,284.0,585.0,895.0
19,SIDS,2018,53.0,390.0,784.0,1227.0
20,SIDS,2019,66.0,669.0,1157.0,1892.0
21,SIDS,2020,107.0,758.0,1320.0,2185.0
22,SIDS,2021,284.0,1592.0,4434.0,6310.0
23,SIDS,2022,373.0,2648.0,5096.0,8117.0
24,Tier 1,2011,532.0,7800.0,14034.0,22366.0
25,Tier 1,2012,521.0,8277.0,17411.0,26209.0
26,Tier 1,2013,590.0,8540.0,18116.0,27246.0
27,Tier 1,2014,590.0,9892.0,22179.0,32661.0
28,Tier 1,2015,662.0,9399.0,21437.0,31498.0
29,Tier 1,2016,851.0,10296.0,21910.0,33057.0
30,Tier 1,2017,935.0,10779.0,22698.0,34412.0
31,Tier 1,2018,843.0,10885.0,23756.0,35484.0
32,Tier 1,2019,1099.0,14029.0,26279.0,41407.0
33,Tier 1,2020,1427.0,18355.0,30120.0,49902.0
34,Tier 1,2021,3870.0,33061.0,70582.0,107513.0
35,Tier 1,2022,4782.0,50498.0,72989.0,128269.0
36,Tier 2,2011,146.0,1743.0,2910.0,4799.0
37,Tier 2,2012,85.0,1752.0,3137.0,4974.0
38,Tier 2,2013,155.0,1816.0,3739.0,5710.0
39,Tier 2,2014,104.0,1654.0,3350.0,5108.0
40,Tier 2,2015,123.0,1809.0,4345.0,6277.0
41,Tier 2,2016,146.0,2300.0,4581.0,7027.0
42,Tier 2,2017,136.0,2116.0,3873.0,6125.0
43,Tier 2,2018,231.0,2340.0,4037.0,6608.0
44,Tier 2,2019,228.0,3261.0,5635.0,9124.0
45,Tier 2,2020,308.0,3111.0,5203.0,8622.0
46,Tier 2,2021,648.0,5910.0,11417.0,17975.0
47,Tier 2,2022,692.0,6907.0,10437.0,18036.0
