,WHO,Year,intersection,climate,health,sum
11,Africa,2011,60.0,435.0,850.0,1345.0
12,Africa,2012,17.0,225.0,962.0,1204.0
13,Africa,2013,38.0,405.0,1473.0,1916.0
14,Africa,2014,73.0,525.0,1583.0,2181.0
15,Africa,2015,49.0,643.0,2047.0,2739.0
16,Africa,2016,40.0,661.0,2107.0,2808.0
17,Africa,2017,54.0,470.0,1451.0,1975.0
18,Africa,2018,25.0,377.0,1253.0,1655.0
19,Africa,2019,57.0,519.0,1575.0,2151.0
20,Africa,2020,40.0,452.0,942.0,1434.0
21,Africa,2021,179.0,1235.0,3298.0,4712.0
22,Africa,2022,145.0,1254.0,2787.0,4186.0
23,Americas,2011,292.0,3894.0,13389.0,17575.0
24,Americas,2012,279.0,4793.0,16936.0,22008.0
25,Americas,2013,350.0,4721.0,21158.0,26229.0
26,Americas,2014,316.0,4472.0,18573.0,23361.0
27,Americas,2015,401.0,4785.0,20878.0,26064.0
28,Americas,2016,477.0,5056.0,19378.0,24911.0
29,Americas,2017,524.0,5904.0,21273.0,27701.0
30,Americas,2018,549.0,5697.0,21422.0,27668.0
31,Americas,2019,547.0,6946.0,21196.0,28689.0
32,Americas,2020,799.0,8372.0,21629.0,30800.0
33,Americas,2021,2484.0,16473.0,58456.0,77413.0
34,Americas,2022,2684.0,23155.0,50159.0,75998.0
35,Eastern Mediterranean,2011,17.0,119.0,534.0,670.0
36,Eastern Mediterranean,2012,28.0,231.0,1245.0,1504.0
37,Eastern Mediterranean,2013,31.0,194.0,1184.0,1409.0
38,Eastern Mediterranean,2014,13.0,182.0,746.0,941.0
39,Eastern Mediterranean,2015,12.0,269.0,1158.0,1439.0
40,Eastern Mediterranean,2016,27.0,355.0,1173.0,1555.0
41,Eastern Mediterranean,2017,27.0,345.0,1158.0,1530.0
42,Eastern Mediterranean,2018,40.0,754.0,1741.0,2535.0
43,Eastern Mediterranean,2019,40.0,713.0,1829.0,2582.0
44,Eastern Mediterranean,2020,49.0,479.0,1597.0,2125.0
45,Eastern Mediterranean,2021,115.0,789.0,3284.0,4188.0
46,Eastern Mediterranean,2022,210.0,1569.0,3870.0,5649.0
47,Europe,2011,596.0,9405.0,19975.0,29976.0
48,Europe,2012,619.0,10744.0,24852.0,36215.0
49,Europe,2013,690.0,11094.0,25398.0,37182.0
50,Europe,2014,667.0,11947.0,27080.0,39694.0
51,Europe,2015,665.0,11251.0,27215.0,39131.0
52,Europe,2016,819.0,12751.0,29152.0,42722.0
53,Europe,2017,989.0,13467.0,30262.0,44718.0
54,Europe,2018,955.0,14341.0,33671.0,48967.0
55,Europe,2019,1316.0,18778.0,38600.0,58694.0
56,Europe,2020,1753.0,23417.0,42913.0,68083.0
57,Europe,2021,5022.0,44430.0,101401.0,150853.0
58,Europe,2022,5372.0,61005.0,101472.0,167849.0
59,South-East Asia,2011,49.0,795.0,1553.0,2397.0
60,South-East Asia,2012,53.0,841.0,1807.0,2701.0
61,South-East Asia,2013,73.0,1115.0,2431.0,3619.0
62,South-East Asia,2014,55.0,914.0,2322.0,3291.0
63,South-East Asia,2015,101.0,1117.0,3149.0,4367.0
64,South-East Asia,2016,111.0,1352.0,2739.0,4202.0
65,South-East Asia,2017,105.0,910.0,2902.0,3917.0
66,South-East Asia,2018,108.0,1031.0,2743.0,3882.0
67,South-East Asia,2019,126.0,1217.0,2999.0,4342.0
68,South-East Asia,2020,154.0,1101.0,2543.0,3798.0
69,South-East Asia,2021,330.0,2397.0,6090.0,8817.0
70,South-East Asia,2022,291.0,2734.0,5376.0,8401.0
71,Western Pacific,2011,211.0,5091.0,6920.0,12222.0
72,Western Pacific,2012,189.0,5901.0,7832.0,13922.0
73,Western Pacific,2013,309.0,5225.0,9074.0,14608.0
74,Western Pacific,2014,281.0,5163.0,9622.0,15066.0
75,Western Pacific,2015,233.0,4708.0,8829.0,13770.0
76,Western Pacific,2016,316.0,4716.0,8859.0,13891.0
77,Western Pacific,2017,407.0,6373.0,11220.0,18000.0
78,Western Pacific,2018,395.0,6345.0,12563.0,19303.0
79,Western Pacific,2019,575.0,8764.0,14511.0,23850.0
80,Western Pacific,2020,993.0,11484.0,19747.0,32224.0
81,Western Pacific,2021,2055.0,22119.0,35467.0,59641.0
82,Western Pacific,2022,2894.0,33676.0,44348.0,80918.0
