,HDI Level (2021),Year,intersection,climate,health,sum
0,0,2011,72.0,2245.0,1666.0,3983.0
1,0,2012,101.0,2870.0,2507.0,5478.0
2,0,2013,188.0,2206.0,2552.0,4946.0
3,0,2014,177.0,2061.0,2723.0,4961.0
4,0,2015,97.0,1766.0,2177.0,4040.0
5,0,2016,98.0,1345.0,1792.0,3235.0
6,0,2017,127.0,2013.0,2596.0,4736.0
7,0,2018,58.0,1161.0,1610.0,2829.0
8,0,2019,147.0,1261.0,1518.0,2926.0
9,0,2020,112.0,1382.0,1647.0,3141.0
10,0,2021,375.0,4001.0,4484.0,8860.0
11,0,2022,425.0,6847.0,5686.0,12958.0
12,High,2011,212.0,2704.0,9213.0,12129.0
13,High,2012,181.0,2977.0,12576.0,15734.0
14,High,2013,226.0,3525.0,16435.0,20186.0
15,High,2014,224.0,3247.0,12610.0,16081.0
16,High,2015,182.0,3130.0,13243.0,16555.0
17,High,2016,234.0,3228.0,12403.0,15865.0
18,High,2017,282.0,3544.0,13487.0,17313.0
19,High,2018,276.0,3620.0,13933.0,17829.0
20,High,2019,275.0,3604.0,14084.0,17963.0
21,High,2020,374.0,3981.0,13906.0,18261.0
22,High,2021,1191.0,8493.0,34812.0,44496.0
23,High,2022,1530.0,12326.0,33526.0,47382.0
24,Low,2011,7.0,57.0,284.0,348.0
25,Low,2012,7.0,81.0,424.0,512.0
26,Low,2013,13.0,34.0,344.0,391.0
27,Low,2014,5.0,35.0,327.0,367.0
28,Low,2015,9.0,55.0,391.0,455.0
29,Low,2016,13.0,78.0,368.0,459.0
30,Low,2017,20.0,79.0,354.0,453.0
31,Low,2018,18.0,147.0,767.0,932.0
32,Low,2019,24.0,188.0,729.0,941.0
33,Low,2020,21.0,139.0,394.0,554.0
34,Low,2021,29.0,211.0,1083.0,1323.0
35,Low,2022,57.0,442.0,1410.0,1909.0
36,Medium,2011,60.0,673.0,1483.0,2216.0
37,Medium,2012,55.0,794.0,2288.0,3137.0
38,Medium,2013,53.0,651.0,1910.0,2614.0
39,Medium,2014,68.0,596.0,1991.0,2655.0
40,Medium,2015,93.0,790.0,2634.0,3517.0
41,Medium,2016,93.0,937.0,2868.0,3898.0
42,Medium,2017,67.0,745.0,2670.0,3482.0
43,Medium,2018,102.0,786.0,2746.0,3634.0
44,Medium,2019,87.0,1026.0,2794.0,3907.0
45,Medium,2020,112.0,835.0,2338.0,3285.0
46,Medium,2021,329.0,1989.0,7001.0,9319.0
47,Medium,2022,260.0,2189.0,5797.0,8246.0
48,Very High,2011,874.0,14063.0,30591.0,45528.0
49,Very High,2012,841.0,16017.0,35881.0,52739.0
50,Very High,2013,1017.0,16353.0,39531.0,56901.0
51,Very High,2014,931.0,17264.0,42275.0,60470.0
52,Very High,2015,1081.0,17048.0,44848.0,62977.0
53,Very High,2016,1352.0,19305.0,45977.0,66634.0
54,Very High,2017,1610.0,21100.0,49169.0,71879.0
55,Very High,2018,1619.0,22834.0,54344.0,78797.0
56,Very High,2019,2128.0,30873.0,61600.0,94601.0
57,Very High,2020,3169.0,38988.0,71098.0,113255.0
58,Very High,2021,8266.0,72827.0,160755.0,241848.0
59,Very High,2022,9328.0,101712.0,161736.0,272776.0
