,Year,HDI Level (2021),Climate,Health,Intersection
1,2011,High,0.57,0.82,0.17
6,2012,High,0.55,0.82,0.12
11,2013,High,0.55,0.86,0.14
16,2014,High,0.54,0.85,0.14
21,2015,High,0.52,0.85,0.12
26,2016,High,0.5,0.83,0.14
31,2017,High,0.51,0.85,0.15
36,2018,High,0.51,0.83,0.14
41,2019,High,0.54,0.84,0.16
46,2020,High,0.6,0.87,0.22
51,2021,High,0.6,0.86,0.28
56,2022,High,0.64,0.86,0.27
2,2011,Low,0.5,0.77,0.15
7,2012,Low,0.52,0.83,0.24
12,2013,Low,0.33,0.77,0.09
17,2014,Low,0.34,0.71,0.05
22,2015,Low,0.49,0.81,0.12
27,2016,Low,0.38,0.78,0.12
32,2017,Low,0.42,0.87,0.11
37,2018,Low,0.48,0.86,0.17
42,2019,Low,0.5,0.79,0.16
47,2020,Low,0.61,0.79,0.18
52,2021,Low,0.6,0.82,0.22
57,2022,Low,0.75,0.9,0.4
3,2011,Medium,0.51,0.8,0.19
8,2012,Medium,0.51,0.84,0.17
13,2013,Medium,0.48,0.81,0.12
18,2014,Medium,0.49,0.8,0.09
23,2015,Medium,0.47,0.8,0.13
28,2016,Medium,0.51,0.8,0.13
33,2017,Medium,0.52,0.81,0.14
38,2018,Medium,0.51,0.82,0.15
43,2019,Medium,0.57,0.83,0.21
48,2020,Medium,0.55,0.84,0.19
53,2021,Medium,0.62,0.88,0.33
58,2022,Medium,0.67,0.85,0.35
4,2011,Very High,0.64,0.82,0.18
9,2012,Very High,0.57,0.79,0.13
14,2013,Very High,0.57,0.78,0.14
19,2014,Very High,0.57,0.79,0.14
24,2015,Very High,0.59,0.81,0.15
29,2016,Very High,0.59,0.81,0.16
34,2017,Very High,0.6,0.82,0.17
39,2018,Very High,0.62,0.83,0.2
44,2019,Very High,0.64,0.85,0.21
49,2020,Very High,0.73,0.87,0.31
54,2021,Very High,0.74,0.89,0.39
59,2022,Very High,0.77,0.88,0.41
