,Sector,intersection,climate,health
0,Alternative Energy,8.0,200.0,859.0
1,Automobiles & Parts,0.0,6.0,58.0
2,Banks,6.0,122.0,439.0
3,Beverages,19.0,225.0,564.0
4,Chemicals,7.0,69.0,479.0
5,Construction & Materials,42.0,648.0,2696.0
6,Diversified,33.0,248.0,979.0
7,Electricity,98.0,1781.0,5257.0
8,Electronic & Electrical Equ...,22.0,96.0,384.0
9,Equity Investment Instruments,2.0,6.0,20.0
10,Financial Services,16.0,407.0,1150.0
11,Fixed Line Telecommunications,24.0,274.0,872.0
12,Food & Drug Retailers,0.0,0.0,32.0
13,Food Producers,27.0,368.0,3026.0
14,Forestry & Paper,14.0,190.0,362.0
15,"Gas, Water & Multiutilities",24.0,636.0,2360.0
16,General Industrials,47.0,526.0,2965.0
17,General Retailers,10.0,39.0,294.0
18,Health Care Equipment & Ser...,46.0,139.0,3301.0
19,Industrial Engineering,4.0,47.0,134.0
20,Industrial Metals & Mining,14.0,138.0,382.0
21,Industrial Transportation,13.0,185.0,1161.0
22,Life Insurance,0.0,9.0,43.0
23,Media,1.0,24.0,228.0
24,Mining,24.0,164.0,1323.0
25,Mobile Telecommunications,2.0,47.0,150.0
26,Nonlife Insurance,7.0,54.0,427.0
27,Not Applicable,15.0,203.0,3062.0
28,Oil & Gas Producers,48.0,639.0,4040.0
29,"Oil Equipment, Services & D...",47.0,526.0,2156.0
30,Personal Goods,1.0,28.0,190.0
31,Pharmaceuticals & Biotechno...,11.0,44.0,729.0
32,Real Estate Investment & Se...,0.0,11.0,41.0
33,Software & Computer Services,8.0,56.0,929.0
34,Support Services,58.0,495.0,4126.0
35,Technology Hardware & Equip...,0.0,6.0,43.0
36,Travel & Leisure,4.0,69.0,954.0
