,Sector,intersection,health,climate
0,Aerospace & Defense,2.47,53.22,16.5
1,Alternative Energy,2.07,27.22,16.87
2,Automobiles & Parts,2.31,41.05,30.12
3,Banks,2.31,52.48,28.37
4,Basic Resources,0.0,1.0,1.0
5,Beverages,2.73,59.04,24.84
6,Chemicals,3.39,47.27,22.22
7,Construction & Materials,1.38,33.12,14.36
8,Diversified,1.4,30.71,10.44
9,Electricity,3.54,72.21,39.75
10,Electronic & Electrical Equ...,1.48,26.98,14.35
11,Equity Investment Instruments,1.95,24.68,12.41
12,Financial Services,1.92,32.5,24.56
13,Fixed Line Telecommunications,1.24,36.88,12.76
14,Food & Drug Retailers,3.06,76.44,22.03
15,Food Producers,2.03,44.44,10.87
16,Forestry & Paper,2.67,41.18,21.0
17,"Gas, Water & Multiutilities",2.56,47.73,24.13
18,General Industrials,1.4,28.8,11.46
19,General Retailers,1.41,37.92,15.4
20,Health Care Equipment & Ser...,2.13,71.53,8.32
21,Household Goods & Home Cons...,3.11,76.41,38.48
22,Industrial Engineering,1.6,29.01,13.69
23,Industrial Goods & Services,0.0,15.83,2.33
24,Industrial Metals & Mining,3.61,61.87,27.98
25,Industrial Transportation,2.16,34.72,15.15
26,Leisure Goods,0.76,28.0,18.12
27,Life Insurance,3.56,51.69,20.25
28,Media,0.68,17.75,6.07
29,Mining,5.15,89.82,44.15
30,Mobile Telecommunications,3.04,58.11,23.66
31,Nonequity Investment Instru...,1.0,19.5,15.75
32,Nonlife Insurance,2.39,38.02,13.47
33,Not Applicable,2.4,154.6,2.6
34,Oil & Gas Producers,3.52,53.55,34.83
35,"Oil Equipment, Services & D...",1.7,31.37,14.91
36,Other,0.0,10.5,2.0
37,Personal Goods,1.28,32.39,12.16
38,Pharmaceuticals & Biotechno...,5.01,93.34,14.74
39,Real Estate Investment & Se...,2.19,47.53,22.47
40,Real Estate Investment Trusts,2.65,46.76,36.35
41,Retail,0.0,23.33,2.0
42,Software & Computer Services,0.78,16.71,7.27
43,Support Services,0.71,18.38,6.58
44,Technology Hardware & Equip...,1.43,28.38,14.56
45,Travel & Leisure,1.34,32.93,12.79
