,Sector,Climate,Health,Intersection,Year
0,Alternative Energy,1.0,1.0,0.33,2022
1,Automobiles & Parts,0.67,0.67,0.0,2022
2,Banks,0.81,0.94,0.12,2022
3,Beverages,0.7,0.85,0.4,2022
4,Chemicals,0.64,0.89,0.14,2022
5,Construction & Materials,0.57,0.88,0.15,2022
6,Diversified,0.64,0.89,0.26,2022
7,Electricity,0.83,0.91,0.31,2022
8,Electronic & Electrical Equ...,0.95,1.0,0.55,2022
9,Equity Investment Instruments,1.0,1.0,1.0,2022
10,Financial Services,0.72,0.89,0.22,2022
11,Fixed Line Telecommunications,0.89,0.96,0.41,2022
12,Food & Drug Retailers,0.0,1.0,0.0,2022
13,Food Producers,0.65,0.92,0.13,2022
14,Forestry & Paper,0.88,1.0,0.38,2022
15,"Gas, Water & Multiutilities",0.69,0.87,0.14,2022
16,General Industrials,0.64,0.9,0.15,2022
17,General Retailers,0.4,0.8,0.12,2022
18,Health Care Equipment & Ser...,0.82,0.92,0.33,2022
19,Industrial Engineering,0.47,1.0,0.13,2022
20,Industrial Metals & Mining,1.0,1.0,0.8,2022
21,Industrial Transportation,0.48,0.89,0.11,2022
22,Life Insurance,0.5,1.0,0.0,2022
23,Media,0.32,0.84,0.05,2022
24,Mining,0.94,1.0,0.65,2022
25,Mobile Telecommunications,1.0,1.0,0.2,2022
26,Nonlife Insurance,0.92,1.0,0.33,2022
27,Not Applicable,0.66,0.89,0.08,2022
28,Oil & Gas Producers,0.72,0.9,0.26,2022
29,"Oil Equipment, Services & D...",0.61,0.91,0.21,2022
30,Personal Goods,0.55,1.0,0.09,2022
31,Pharmaceuticals & Biotechno...,0.45,0.88,0.21,2022
32,Real Estate Investment & Se...,0.5,0.75,0.0,2022
33,Software & Computer Services,0.69,0.91,0.18,2022
34,Support Services,0.41,0.83,0.11,2022
35,Technology Hardware & Equip...,1.0,1.0,0.0,2022
36,Travel & Leisure,0.84,1.0,0.16,2022
