,Year,LC_grouping,Climate,Health,Intersection
0,2012,South and Central America,1.0,1.0,0.0
1,2013,South and Central America,0.67,1.0,0.0
2,2014,South and Central America,1.0,1.0,0.0
3,2015,South and Central America,0.0,1.0,0.0
4,2016,South and Central America,0.0,1.0,0.0
5,2017,South and Central America,0.83,0.83,0.5
6,2018,South and Central America,0.75,0.75,0.5
7,2019,South and Central America,1.0,1.0,0.67
8,2020,South and Central America,1.0,1.0,0.75
9,2021,South and Central America,0.67,0.67,0.33
10,2022,South and Central America,1.0,1.0,0.67
