,HDI Level (2021),Year,intersection,climate,health,sum,Sector
0,High,2012,0.0,15.0,159.0,174.0,Health Care Equipment & Ser...
1,High,2013,0.0,4.0,566.0,570.0,Health Care Equipment & Ser...
2,High,2014,0.0,9.0,135.0,144.0,Health Care Equipment & Ser...
3,High,2015,0.0,0.0,63.0,63.0,Health Care Equipment & Ser...
4,High,2016,0.0,0.0,59.0,59.0,Health Care Equipment & Ser...
5,High,2017,11.0,9.0,347.0,367.0,Health Care Equipment & Ser...
6,High,2018,10.0,29.0,295.0,334.0,Health Care Equipment & Ser...
7,High,2019,6.0,17.0,298.0,321.0,Health Care Equipment & Ser...
8,High,2020,12.0,23.0,525.0,560.0,Health Care Equipment & Ser...
9,High,2021,1.0,13.0,378.0,392.0,Health Care Equipment & Ser...
10,High,2022,6.0,20.0,476.0,502.0,Health Care Equipment & Ser...
