,Sector,intersection,health,climate
0,Alternative Energy,0.0,4.0,1.0
1,Automobiles & Parts,0.0,0.0,0.0
2,Banks,0.0,3.0,7.0
3,Beverages,2.0,45.0,44.0
4,Chemicals,0.0,1.0,0.0
5,Construction & Materials,0.25,15.5,3.25
6,Diversified,1.33,27.5,11.67
7,Electricity,2.0,34.0,19.0
8,Electronic & Electrical Equ...,0.0,0.0,0.0
9,Equity Investment Instruments,0.0,7.0,16.0
10,Financial Services,0.0,4.75,15.0
11,Food & Drug Retailers,11.0,90.0,83.5
12,Forestry & Paper,0.0,13.5,5.0
13,"Gas, Water & Multiutilities",3.5,63.17,48.33
14,General Industrials,1.75,9.12,7.5
15,General Retailers,0.25,4.25,3.0
16,Health Care Equipment & Ser...,28.0,281.0,42.0
17,Industrial Metals & Mining,4.0,38.0,33.0
18,Industrial Transportation,5.0,98.0,73.5
19,Media,0.0,5.0,6.0
20,Mining,8.83,104.17,115.5
21,Mobile Telecommunications,9.0,55.0,100.0
22,Oil & Gas Producers,0.0,1.0,0.0
23,"Oil Equipment, Services & D...",0.0,7.0,80.0
24,Personal Goods,1.0,30.0,16.67
25,Real Estate Investment & Se...,1.67,51.33,71.67
26,Real Estate Investment Trusts,4.5,122.5,85.5
27,Software & Computer Services,0.0,3.67,0.67
28,Support Services,1.08,15.75,9.75
29,Travel & Leisure,3.75,26.5,19.0
