,Sector,intersection,health,climate
0,Banks,3.62,51.12,35.5
1,Beverages,0.0,63.0,25.0
2,Construction & Materials,2.0,87.0,20.5
3,Diversified,2.8,32.4,12.4
4,Electricity,3.67,63.67,65.33
5,Electronic & Electrical Equ...,0.33,7.0,2.17
6,Financial Services,0.5,75.0,33.5
7,Food Producers,0.0,2.0,2.0
8,Forestry & Paper,15.0,382.0,51.0
9,General Industrials,5.8,48.6,36.2
10,Industrial Engineering,0.5,20.0,8.0
11,Industrial Metals & Mining,3.67,40.67,22.33
12,Industrial Transportation,5.0,84.5,71.0
13,Life Insurance,0.0,0.0,3.0
14,Oil & Gas Producers,10.0,89.0,72.0
15,Personal Goods,1.5,77.0,9.5
16,Pharmaceuticals & Biotechno...,3.0,38.0,3.0
17,Real Estate Investment & Se...,0.0,0.0,0.0
18,Software & Computer Services,0.5,12.5,3.0
19,Support Services,0.25,6.25,2.75
