,Sector,intersection,health,climate
0,Banks,0.0,0.0,1.0
1,Beverages,2.0,6.0,3.0
2,Chemicals,0.0,9.0,1.0
3,Construction & Materials,1.0,20.67,10.67
4,Diversified,0.0,17.0,12.0
5,Financial Services,1.0,2.5,6.0
6,Fixed Line Telecommunications,0.0,17.0,11.0
7,Food Producers,0.0,5.0,1.0
8,Forestry & Paper,2.0,49.0,27.0
9,General Industrials,0.0,20.0,8.0
10,Industrial Engineering,0.0,16.5,3.0
11,Industrial Transportation,0.0,4.0,0.0
12,Leisure Goods,0.0,50.5,14.5
13,Life Insurance,3.0,9.0,23.0
14,Media,0.0,8.0,1.0
15,Personal Goods,0.0,40.0,1.0
16,Real Estate Investment & Se...,23.0,613.0,60.0
17,Real Estate Investment Trusts,9.0,45.0,69.0
18,Software & Computer Services,0.0,6.0,1.0
19,Support Services,0.75,12.88,7.12
