,Sector,intersection,climate,health
0,Banks,0.0,0.0,0.0
1,Construction & Materials,1.0,10.0,142.0
2,Diversified,0.0,7.0,18.0
3,Electricity,3.0,87.0,703.0
4,Financial Services,8.0,94.0,180.0
5,Food & Drug Retailers,0.0,0.0,29.0
6,Food Producers,0.0,0.0,0.0
7,"Gas, Water & Multiutilities",0.0,0.0,0.0
8,General Industrials,0.0,3.0,1.0
9,General Retailers,9.0,22.0,123.0
10,Industrial Metals & Mining,21.0,62.0,376.0
11,Media,0.0,0.0,0.0
12,Mobile Telecommunications,0.0,7.0,8.0
13,Not Applicable,0.0,4.0,12.0
14,Oil & Gas Producers,13.0,146.0,1239.0
15,"Oil Equipment, Services & D...",0.0,2.0,50.0
16,Pharmaceuticals & Biotechno...,1.0,17.0,74.0
17,Real Estate Investment & Se...,0.0,0.0,2.0
18,Technology Hardware & Equip...,1.0,6.0,1.0
