,Sector,intersection,health,climate
0,Aerospace & Defense,0.0,14.0,0.0
1,Alternative Energy,1.0,28.0,7.0
2,Banks,2.57,45.29,11.43
3,Chemicals,0.0,9.0,3.0
4,Construction & Materials,0.75,18.88,3.12
5,Diversified,0.63,20.24,5.43
6,Electricity,2.29,54.52,20.67
7,Electronic & Electrical Equ...,0.0,27.67,3.0
8,Equity Investment Instruments,0.0,2.0,2.0
9,Financial Services,0.12,12.88,5.5
10,Fixed Line Telecommunications,0.0,18.0,0.0
11,Food & Drug Retailers,3.0,126.0,4.0
12,Food Producers,0.33,21.92,2.33
13,Forestry & Paper,1.67,32.5,13.17
14,"Gas, Water & Multiutilities",1.75,42.0,7.5
15,General Industrials,0.27,29.27,2.73
16,General Retailers,2.5,73.0,32.17
17,Health Care Equipment & Ser...,1.05,63.26,3.11
18,Industrial Engineering,0.0,6.0,0.67
19,Industrial Metals & Mining,1.43,40.57,22.0
20,Industrial Transportation,0.58,21.75,5.25
21,Life Insurance,0.0,16.25,0.5
22,Media,0.2,4.8,0.6
23,Mobile Telecommunications,1.33,20.0,13.33
24,Nonlife Insurance,4.0,33.0,6.0
25,"Oil Equipment, Services & D...",2.6,48.2,15.4
26,Personal Goods,0.0,14.8,4.0
27,Pharmaceuticals & Biotechno...,1.29,48.86,11.43
28,Real Estate Investment & Se...,2.0,93.5,11.5
29,Software & Computer Services,2.56,23.69,14.56
30,Support Services,0.12,11.0,1.63
31,Technology Hardware & Equip...,0.0,1.5,0.0
32,Travel & Leisure,1.0,29.0,5.29
