,HDI Level (2021),Year,intersection,climate,health,sum,Sector
0,High,2011,0.0,0.0,120.0,120.0,Health Care Equipment & Ser...
1,High,2012,5.0,30.0,763.0,798.0,Health Care Equipment & Ser...
2,High,2013,5.0,8.0,668.0,681.0,Health Care Equipment & Ser...
3,High,2014,0.0,3.0,46.0,49.0,Health Care Equipment & Ser...
4,High,2015,1.0,9.0,463.0,473.0,Health Care Equipment & Ser...
5,High,2016,3.0,7.0,562.0,572.0,Health Care Equipment & Ser...
6,High,2017,4.0,13.0,510.0,527.0,Health Care Equipment & Ser...
7,High,2018,12.0,21.0,669.0,702.0,Health Care Equipment & Ser...
8,High,2019,2.0,15.0,1011.0,1028.0,Health Care Equipment & Ser...
9,High,2020,0.0,7.0,647.0,654.0,Health Care Equipment & Ser...
10,High,2021,20.0,59.0,1202.0,1281.0,Health Care Equipment & Ser...
11,High,2022,94.0,140.0,1762.0,1996.0,Health Care Equipment & Ser...
