,Sector,intersection,climate,health
0,Banks,0.0,3.0,8.0
1,Electricity,0.0,27.0,115.0
2,Electronic & Electrical Equ...,3.0,3.0,42.0
3,Financial Services,2.0,18.0,24.0
4,Food Producers,0.0,0.0,5.0
5,"Gas, Water & Multiutilities",15.0,82.0,117.0
6,General Industrials,4.0,4.0,110.0
7,Industrial Metals & Mining,0.0,0.0,40.0
8,Industrial Transportation,4.0,47.0,108.0
9,Media,0.0,0.0,1.0
10,Mobile Telecommunications,0.0,0.0,30.0
11,Nonlife Insurance,0.0,0.0,19.0
12,"Oil Equipment, Services & D...",0.0,3.0,13.0
13,Pharmaceuticals & Biotechno...,0.0,10.0,155.0
14,Real Estate Investment & Se...,0.0,8.0,15.0
15,Software & Computer Services,0.0,1.0,58.0
16,Support Services,0.0,0.0,1.0
