,Year,intersection,health,climate
0,2011,1.1363636363636365,26.40909090909091,17.0
1,2012,0.5185185185185185,17.666666666666668,11.814814814814815
2,2013,0.12,11.96,9.0
3,2014,0.0,10.958333333333334,7.041666666666667
4,2015,0.45,15.05,9.5
5,2016,0.3333333333333333,21.19047619047619,11.19047619047619
6,2017,0.9333333333333333,28.1,16.233333333333334
7,2018,2.0454545454545454,28.40909090909091,26.181818181818183
8,2019,1.7586206896551724,37.89655172413793,35.13793103448276
9,2020,3.272727272727273,54.27272727272727,30.545454545454547
10,2021,5.543478260869565,58.30434782608695,31.41304347826087
11,2022,5.053571428571429,61.035714285714285,43.357142857142854
