,Sector,intersection,climate,health
0,Aerospace & Defense,65.0,420.0,1319.0
1,Alternative Energy,2.0,28.0,8.0
2,Automobiles & Parts,4.0,21.0,176.0
3,Chemicals,13.0,52.0,235.0
4,Construction & Materials,16.0,56.0,64.0
5,Diversified,12.0,68.0,106.0
6,Electricity,28.0,414.0,268.0
7,Electronic & Electrical Equ...,4.0,138.0,130.0
8,Equity Investment Instruments,0.0,0.0,11.0
9,Financial Services,32.0,835.0,402.0
10,Fixed Line Telecommunications,0.0,7.0,6.0
11,Food & Drug Retailers,14.0,55.0,53.0
12,Food Producers,0.0,2.0,7.0
13,Forestry & Paper,4.0,62.0,13.0
14,General Industrials,26.0,294.0,559.0
15,General Retailers,2.0,32.0,115.0
16,Industrial Engineering,57.0,609.0,678.0
17,Industrial Metals & Mining,223.0,1741.0,3940.0
18,Media,6.0,75.0,48.0
19,Mining,25.0,535.0,1186.0
20,Mobile Telecommunications,0.0,33.0,31.0
21,Nonequity Investment Instru...,0.0,3.0,5.0
22,Not Applicable,0.0,10.0,25.0
23,Oil & Gas Producers,135.0,1411.0,914.0
24,"Oil Equipment, Services & D...",25.0,389.0,425.0
25,Personal Goods,1.0,39.0,44.0
26,Software & Computer Services,13.0,192.0,263.0
27,Support Services,81.0,601.0,1167.0
28,Technology Hardware & Equip...,4.0,17.0,29.0
