,Sector,intersection,climate,health
0,Banks,12.0,171.0,702.0
1,Beverages,17.0,449.0,1326.0
2,Chemicals,2.0,48.0,188.0
3,Construction & Materials,25.0,224.0,654.0
4,Diversified,45.0,858.0,2101.0
5,Electricity,293.0,2593.0,3464.0
6,Electronic & Electrical Equ...,1.0,18.0,29.0
7,Financial Services,10.0,118.0,683.0
8,Fixed Line Telecommunications,9.0,239.0,299.0
9,Food & Drug Retailers,15.0,89.0,324.0
10,Food Producers,30.0,254.0,1496.0
11,Forestry & Paper,7.0,338.0,494.0
12,"Gas, Water & Multiutilities",16.0,169.0,1013.0
13,General Industrials,32.0,254.0,624.0
14,General Retailers,15.0,440.0,754.0
15,Industrial Metals & Mining,38.0,481.0,541.0
16,Industrial Transportation,16.0,174.0,299.0
17,Media,0.0,0.0,0.0
18,Mining,154.0,904.0,1741.0
19,Not Applicable,12.0,29.0,2100.0
20,Oil & Gas Producers,1.0,1.0,11.0
21,Personal Goods,2.0,34.0,51.0
22,Pharmaceuticals & Biotechno...,7.0,77.0,563.0
23,Real Estate Investment & Se...,12.0,271.0,545.0
24,Software & Computer Services,0.0,9.0,135.0
25,Support Services,73.0,838.0,1845.0
26,Technology Hardware & Equip...,0.0,0.0,1.0
27,Travel & Leisure,2.0,68.0,40.0
