,Sector,intersection,health,climate
0,Banks,1.5,175.5,23.5
1,Beverages,3.0,142.0,48.5
2,Chemicals,0.0,26.0,8.0
3,Construction & Materials,2.0,23.0,1.0
4,Diversified,1.67,103.0,19.67
5,Electricity,12.29,207.29,98.14
6,Financial Services,0.0,128.5,16.0
7,Food & Drug Retailers,1.0,117.0,21.0
8,Food Producers,1.57,106.86,21.43
9,Forestry & Paper,0.5,124.0,58.5
10,"Gas, Water & Multiutilities",0.0,21.0,0.0
11,General Industrials,2.25,66.5,22.25
12,General Retailers,3.0,128.0,48.0
13,Industrial Metals & Mining,14.0,89.5,99.0
14,Industrial Transportation,0.0,0.0,0.0
15,Mining,8.33,142.67,39.67
16,Not Applicable,6.0,381.0,4.5
17,Pharmaceuticals & Biotechno...,1.0,136.0,17.0
18,Real Estate Investment & Se...,1.0,59.5,20.5
19,Software & Computer Services,0.0,47.0,8.0
20,Support Services,8.75,126.75,62.75
