,index,LC_grouping,Year,intersection,climate,health,sum
0,0,Asia,2011,29.0,365.0,747.0,1141.0
1,1,Asia,2012,21.0,350.0,717.0,1088.0
2,2,Asia,2013,13.0,307.0,510.0,830.0
3,3,Asia,2014,16.0,404.0,813.0,1233.0
4,4,Asia,2015,28.0,331.0,786.0,1145.0
5,5,Asia,2016,16.0,258.0,498.0,772.0
6,6,Asia,2017,32.0,392.0,655.0,1079.0
7,7,Asia,2018,18.0,493.0,601.0,1112.0
8,8,Asia,2019,37.0,386.0,664.0,1087.0
9,9,Asia,2020,51.0,327.0,730.0,1108.0
10,10,Asia,2021,103.0,589.0,1848.0,2540.0
11,11,Asia,2022,488.0,2994.0,4460.0,7942.0
