,WHO,Year,intersection,climate,health,sum
0,Americas,2011,17.0,423.0,2041.0,2481.0
1,Americas,2012,29.0,593.0,3601.0,4223.0
2,Americas,2013,42.0,913.0,5617.0,6572.0
3,Americas,2014,43.0,609.0,3344.0,3996.0
4,Americas,2015,18.0,471.0,2754.0,3243.0
5,Americas,2016,32.0,496.0,2591.0,3119.0
6,Americas,2017,55.0,579.0,3188.0,3822.0
7,Americas,2018,61.0,662.0,3792.0,4515.0
8,Americas,2019,42.0,624.0,2868.0,3534.0
9,Americas,2020,54.0,706.0,3231.0,3991.0
10,Americas,2021,193.0,1212.0,8321.0,9726.0
11,Americas,2022,116.0,1437.0,4867.0,6420.0
