,WHO,Year,intersection,climate,health,sum
0,Europe,2011,57.0,558.0,1282.0,1897.0
1,Europe,2012,25.0,486.0,1284.0,1795.0
2,Europe,2013,20.0,586.0,1598.0,2204.0
3,Europe,2014,29.0,492.0,1613.0,2134.0
4,Europe,2015,41.0,606.0,1665.0,2312.0
5,Europe,2016,51.0,618.0,1825.0,2494.0
6,Europe,2017,52.0,747.0,1868.0,2667.0
7,Europe,2018,69.0,1015.0,2113.0,3197.0
8,Europe,2019,86.0,1494.0,2621.0,4201.0
9,Europe,2020,159.0,2046.0,3165.0,5370.0
10,Europe,2021,397.0,3196.0,5607.0,9200.0
11,Europe,2022,395.0,4408.0,5236.0,10039.0
