,Sector,intersection,climate,health
0,Aerospace & Defense,6.0,57.0,209.0
1,Alternative Energy,75.0,873.0,541.0
2,Automobiles & Parts,2.0,34.0,116.0
3,Banks,29.0,600.0,308.0
4,Beverages,35.0,501.0,1254.0
5,Chemicals,24.0,185.0,503.0
6,Construction & Materials,103.0,1619.0,1612.0
7,Diversified,57.0,806.0,1033.0
8,Electricity,33.0,1298.0,670.0
9,Electronic & Electrical Equ...,29.0,355.0,701.0
10,Equity Investment Instruments,9.0,45.0,68.0
11,Financial Services,71.0,1125.0,1707.0
12,Fixed Line Telecommunications,4.0,92.0,213.0
13,Food & Drug Retailers,0.0,2.0,21.0
14,Food Producers,222.0,1628.0,4434.0
15,Forestry & Paper,22.0,141.0,175.0
16,"Gas, Water & Multiutilities",3.0,230.0,303.0
17,General Industrials,42.0,507.0,1193.0
18,General Retailers,15.0,163.0,830.0
19,Health Care Equipment & Ser...,69.0,537.0,2401.0
20,Household Goods & Home Cons...,11.0,87.0,487.0
21,Industrial Engineering,23.0,507.0,956.0
22,Industrial Transportation,59.0,810.0,875.0
23,Leisure Goods,13.0,359.0,430.0
24,Media,5.0,106.0,245.0
25,Mobile Telecommunications,4.0,5.0,27.0
26,Nonequity Investment Instru...,0.0,39.0,5.0
27,Nonlife Insurance,52.0,539.0,1196.0
28,Not Applicable,0.0,30.0,49.0
29,Oil & Gas Producers,0.0,0.0,8.0
30,"Oil Equipment, Services & D...",32.0,237.0,359.0
31,Personal Goods,33.0,299.0,758.0
32,Pharmaceuticals & Biotechno...,107.0,224.0,1793.0
33,Real Estate Investment & Se...,3.0,24.0,83.0
34,Software & Computer Services,18.0,382.0,660.0
35,Support Services,81.0,912.0,2005.0
36,Technology Hardware & Equip...,47.0,475.0,768.0
37,Travel & Leisure,43.0,419.0,881.0
