,WHO,Year,intersection,climate,health,sum,Sector
0,Europe,2011,0.0,0.0,21.0,21.0,Health Care Equipment & Ser...
1,Europe,2012,0.0,0.0,29.0,29.0,Health Care Equipment & Ser...
2,Europe,2013,0.0,4.0,112.0,116.0,Health Care Equipment & Ser...
3,Europe,2014,0.0,15.0,82.0,97.0,Health Care Equipment & Ser...
4,Europe,2015,2.0,24.0,94.0,120.0,Health Care Equipment & Ser...
5,Europe,2016,0.0,20.0,121.0,141.0,Health Care Equipment & Ser...
6,Europe,2017,0.0,33.0,161.0,194.0,Health Care Equipment & Ser...
7,Europe,2018,2.0,35.0,158.0,195.0,Health Care Equipment & Ser...
8,Europe,2019,9.0,52.0,264.0,325.0,Health Care Equipment & Ser...
9,Europe,2020,12.0,58.0,308.0,378.0,Health Care Equipment & Ser...
10,Europe,2021,16.0,127.0,447.0,590.0,Health Care Equipment & Ser...
11,Europe,2022,28.0,169.0,604.0,801.0,Health Care Equipment & Ser...
