,HDI Level (2021),Year,intersection,climate,health,sum,Sector
0,Very High,2011,0.0,0.0,21.0,21.0,Health Care Equipment & Ser...
1,Very High,2012,0.0,0.0,29.0,29.0,Health Care Equipment & Ser...
2,Very High,2013,0.0,4.0,112.0,116.0,Health Care Equipment & Ser...
3,Very High,2014,0.0,15.0,82.0,97.0,Health Care Equipment & Ser...
4,Very High,2015,2.0,24.0,94.0,120.0,Health Care Equipment & Ser...
5,Very High,2016,0.0,20.0,121.0,141.0,Health Care Equipment & Ser...
6,Very High,2017,0.0,33.0,161.0,194.0,Health Care Equipment & Ser...
7,Very High,2018,2.0,35.0,158.0,195.0,Health Care Equipment & Ser...
8,Very High,2019,9.0,52.0,264.0,325.0,Health Care Equipment & Ser...
9,Very High,2020,12.0,58.0,308.0,378.0,Health Care Equipment & Ser...
10,Very High,2021,16.0,127.0,447.0,590.0,Health Care Equipment & Ser...
11,Very High,2022,28.0,169.0,604.0,801.0,Health Care Equipment & Ser...
