,Sector,intersection,climate,health
0,Automobiles & Parts,0.0,5.0,209.0
1,Banks,8.0,75.0,375.0
2,Beverages,0.0,14.0,31.0
3,Chemicals,8.0,66.0,150.0
4,Construction & Materials,4.0,30.0,144.0
5,Diversified,0.0,51.0,115.0
6,Electronic & Electrical Equ...,0.0,60.0,120.0
7,Equity Investment Instruments,0.0,0.0,0.0
8,Financial Services,4.0,51.0,133.0
9,Food Producers,30.0,256.0,863.0
10,General Industrials,0.0,10.0,23.0
11,General Retailers,0.0,9.0,36.0
12,Household Goods & Home Cons...,2.0,3.0,4.0
13,Industrial Transportation,1.0,1.0,65.0
14,Media,0.0,0.0,9.0
15,Mobile Telecommunications,0.0,3.0,3.0
16,Nonequity Investment Instru...,0.0,0.0,9.0
17,Nonlife Insurance,3.0,16.0,35.0
18,Not Applicable,4.0,14.0,118.0
19,Oil & Gas Producers,2.0,2.0,22.0
20,Pharmaceuticals & Biotechno...,21.0,78.0,373.0
21,Real Estate Investment & Se...,9.0,62.0,301.0
22,Software & Computer Services,0.0,0.0,4.0
23,Support Services,8.0,63.0,497.0
24,Travel & Leisure,1.0,20.0,49.0
