,index,LC_grouping,Year,intersection,climate,health,sum
0,0,Africa,2011,10.0,63.0,192.0,265.0
1,1,Africa,2012,6.0,48.0,229.0,283.0
2,2,Africa,2013,4.0,49.0,182.0,235.0
3,3,Africa,2014,0.0,16.0,88.0,104.0
4,4,Africa,2015,3.0,42.0,236.0,281.0
5,5,Africa,2016,4.0,46.0,257.0,307.0
6,6,Africa,2017,0.0,21.0,172.0,193.0
7,7,Africa,2018,7.0,97.0,348.0,452.0
8,8,Africa,2019,8.0,88.0,383.0,479.0
9,9,Africa,2020,16.0,119.0,426.0,561.0
10,10,Africa,2021,14.0,78.0,340.0,432.0
11,11,Africa,2022,33.0,222.0,835.0,1090.0
