,Sector,intersection,climate,health
0,Aerospace & Defense,1.0,33.0,124.0
1,Automobiles & Parts,14.0,213.0,169.0
2,Banks,20.0,594.0,267.0
3,Beverages,0.0,29.0,20.0
4,Chemicals,11.0,186.0,273.0
5,Construction & Materials,4.0,177.0,228.0
6,Diversified,14.0,142.0,205.0
7,Electricity,9.0,436.0,509.0
8,Electronic & Electrical Equ...,3.0,40.0,147.0
9,Financial Services,21.0,507.0,425.0
10,Food Producers,84.0,572.0,738.0
11,Forestry & Paper,55.0,1701.0,918.0
12,General Industrials,101.0,1806.0,2259.0
13,General Retailers,39.0,1173.0,1817.0
14,Health Care Equipment & Ser...,47.0,133.0,1181.0
15,Household Goods & Home Cons...,8.0,71.0,165.0
16,Industrial Engineering,22.0,402.0,680.0
17,Industrial Metals & Mining,1.0,359.0,180.0
18,Industrial Transportation,7.0,277.0,148.0
19,Leisure Goods,7.0,91.0,266.0
20,Media,9.0,256.0,208.0
21,Mobile Telecommunications,17.0,313.0,264.0
22,Nonlife Insurance,23.0,438.0,603.0
23,Oil & Gas Producers,36.0,928.0,469.0
24,Personal Goods,5.0,96.0,105.0
25,Pharmaceuticals & Biotechno...,0.0,0.0,88.0
26,Real Estate Investment & Se...,9.0,499.0,287.0
27,Software & Computer Services,6.0,155.0,97.0
28,Support Services,20.0,543.0,835.0
29,Technology Hardware & Equip...,23.0,648.0,1238.0
30,Travel & Leisure,20.0,214.0,296.0
