,Sector,intersection,health,climate
0,Aerospace & Defense,0.0,53.0,20.0
1,Automobiles & Parts,4.0,40.0,41.0
2,Banks,3.0,99.0,135.0
3,Beverages,0.0,6.67,9.67
4,Construction & Materials,1.0,13.5,21.0
5,Diversified,1.0,13.67,10.17
6,Electricity,0.0,96.0,112.0
7,Electronic & Electrical Equ...,0.0,19.33,8.0
8,Financial Services,0.0,29.5,38.0
9,Food Producers,8.67,48.33,70.33
10,Forestry & Paper,2.75,25.25,51.0
11,General Industrials,5.86,68.14,71.71
12,General Retailers,2.33,64.67,22.67
13,Health Care Equipment & Ser...,10.0,351.5,45.5
14,Industrial Engineering,2.5,16.0,26.0
15,Industrial Metals & Mining,0.0,4.0,38.0
16,Industrial Transportation,2.0,37.0,15.0
17,Leisure Goods,3.0,94.0,45.0
18,Media,0.0,52.5,39.5
19,Mobile Telecommunications,1.0,29.5,32.5
20,Nonlife Insurance,7.0,148.5,131.5
21,Oil & Gas Producers,3.0,89.0,158.5
22,Personal Goods,1.0,35.5,27.5
23,Pharmaceuticals & Biotechno...,0.0,44.0,0.0
24,Real Estate Investment & Se...,1.33,27.33,45.33
25,Software & Computer Services,1.5,14.5,29.5
26,Support Services,0.38,28.25,21.62
27,Technology Hardware & Equip...,1.0,49.33,13.67
28,Travel & Leisure,2.0,28.67,17.0
