,Sector,Climate,Health,Intersection,Year
0,Aerospace & Defense,0.71,0.76,0.12,2021
1,Alternative Energy,0.75,0.75,0.33,2021
2,Automobiles & Parts,0.58,0.85,0.23,2021
3,Banks,1.0,0.94,0.44,2021
4,Beverages,0.79,0.79,0.11,2021
5,Chemicals,0.61,0.8,0.19,2021
6,Construction & Materials,0.52,0.81,0.1,2021
7,Diversified,0.66,0.83,0.18,2021
8,Electricity,0.66,0.85,0.2,2021
9,Electronic & Electrical Equ...,0.49,0.74,0.11,2021
10,Equity Investment Instruments,0.75,0.75,0.0,2021
11,Financial Services,0.53,0.68,0.13,2021
12,Fixed Line Telecommunications,0.4,0.5,0.15,2021
13,Food & Drug Retailers,0.69,0.88,0.23,2021
14,Food Producers,0.6,0.81,0.2,2021
15,Forestry & Paper,0.25,0.46,0.04,2021
16,"Gas, Water & Multiutilities",0.51,0.8,0.27,2021
17,General Industrials,0.47,0.74,0.1,2021
18,General Retailers,0.55,0.71,0.09,2021
19,Health Care Equipment & Ser...,0.55,0.87,0.13,2021
20,Household Goods & Home Cons...,0.47,0.77,0.1,2021
21,Industrial Engineering,0.54,0.77,0.09,2021
22,Industrial Metals & Mining,0.34,0.75,0.1,2021
23,Industrial Transportation,0.68,0.83,0.29,2021
24,Leisure Goods,0.65,0.75,0.2,2021
25,Life Insurance,0.48,0.74,0.22,2021
26,Media,0.48,0.7,0.03,2021
27,Mobile Telecommunications,0.76,0.76,0.06,2021
28,Nonequity Investment Instru...,1.0,1.0,0.0,2021
29,Nonlife Insurance,0.66,0.81,0.1,2021
30,Not Applicable,0.6,0.67,0.2,2021
31,Oil & Gas Producers,0.54,0.79,0.25,2021
32,"Oil Equipment, Services & D...",0.6,0.8,0.2,2021
33,Personal Goods,0.54,0.77,0.18,2021
34,Pharmaceuticals & Biotechno...,0.77,0.88,0.29,2021
35,Real Estate Investment & Se...,0.59,0.69,0.09,2021
36,Real Estate Investment Trusts,0.85,0.92,0.62,2021
37,Software & Computer Services,0.52,0.72,0.07,2021
38,Support Services,0.53,0.78,0.09,2021
39,Technology Hardware & Equip...,0.62,0.86,0.19,2021
40,Travel & Leisure,0.53,0.82,0.13,2021
