,Sector,intersection,climate,health
0,Banks,1.0,97.0,127.0
1,Diversified,5.0,120.0,343.0
2,Financial Services,1.0,3.0,14.0
3,Fixed Line Telecommunications,0.0,0.0,29.0
4,Food Producers,0.0,1.0,19.0
5,Health Care Equipment & Ser...,0.0,0.0,0.0
6,Industrial Metals & Mining,0.0,0.0,1.0
7,Media,0.0,0.0,11.0
8,Mobile Telecommunications,0.0,50.0,101.0
9,Nonlife Insurance,0.0,0.0,56.0
10,Oil & Gas Producers,15.0,483.0,277.0
11,Real Estate Investment & Se...,2.0,2.0,10.0
12,Support Services,0.0,7.0,8.0
13,Travel & Leisure,0.0,20.0,42.0
