,Sector,Climate,Health,Intersection,Year
0,Banks,0.33,1.0,0.33,2021
1,Diversified,0.54,0.85,0.15,2021
2,Financial Services,0.12,0.38,0.12,2021
3,Fixed Line Telecommunications,0.0,0.5,0.0,2021
4,Food Producers,0.25,1.0,0.0,2021
5,Health Care Equipment & Ser...,0.0,0.0,0.0,2021
6,Industrial Metals & Mining,0.0,1.0,0.0,2021
7,Media,0.0,0.5,0.0,2021
8,Mobile Telecommunications,1.0,1.0,0.0,2021
9,Nonlife Insurance,0.0,1.0,0.0,2021
10,Oil & Gas Producers,0.43,1.0,0.36,2021
11,Real Estate Investment & Se...,1.0,1.0,1.0,2021
12,Support Services,0.25,0.25,0.0,2021
13,Travel & Leisure,0.4,0.4,0.0,2021
