Year,Companies (N),Climate (N),Health (N),Intersection (N),Climate (Prop),Health (Prop),Intersection (Prop)
2011,61,39,48,15,0.64,0.79,0.25
2012,99,67,79,13,0.68,0.8,0.13
2013,141,85,107,14,0.6,0.76,0.1
2014,154,81,117,11,0.53,0.76,0.07
2015,177,101,133,15,0.57,0.75,0.08
2016,172,105,141,22,0.61,0.82,0.13
2017,190,110,154,22,0.58,0.81,0.12
2018,199,132,163,39,0.66,0.82,0.2
2019,207,133,175,36,0.64,0.85,0.17
2020,194,141,172,49,0.73,0.89,0.25
2021,292,205,259,86,0.7,0.89,0.29
2022,340,255,298,126,0.75,0.88,0.37
