,Sector,intersection,health,climate
0,Aerospace & Defense,1.6,58.4,24.8
1,Alternative Energy,3.0,21.5,18.0
2,Automobiles & Parts,3.73,61.45,47.55
3,Banks,2.25,50.62,29.62
4,Chemicals,2.0,38.64,14.79
5,Construction & Materials,1.0,62.0,20.5
6,Diversified,1.07,35.43,19.43
7,Electricity,2.8,65.8,54.8
8,Electronic & Electrical Equ...,0.71,16.21,7.71
9,Equity Investment Instruments,0.0,3.0,0.0
10,Financial Services,3.67,35.78,38.56
11,Food Producers,0.6,20.2,4.8
12,Forestry & Paper,0.0,10.5,1.5
13,"Gas, Water & Multiutilities",3.5,73.25,52.5
14,General Industrials,0.19,18.19,5.43
15,General Retailers,0.0,14.82,9.73
16,Health Care Equipment & Ser...,0.22,17.0,10.22
17,Household Goods & Home Cons...,1.83,36.33,13.17
18,Industrial Engineering,0.54,31.31,5.92
19,Industrial Metals & Mining,1.0,91.0,20.0
20,Industrial Transportation,0.33,40.67,18.0
21,Media,0.08,17.33,6.25
22,Mining,3.0,152.0,25.0
23,Mobile Telecommunications,29.0,321.0,138.0
24,Nonlife Insurance,11.5,126.5,100.5
25,Oil & Gas Producers,0.86,29.29,12.57
26,Personal Goods,1.83,47.67,17.33
27,Pharmaceuticals & Biotechno...,4.8,177.8,29.4
28,Real Estate Investment & Se...,2.0,30.0,29.5
29,Software & Computer Services,0.3,13.27,5.43
30,Support Services,0.08,12.15,3.92
31,Technology Hardware & Equip...,0.36,13.71,6.14
32,Travel & Leisure,0.5,47.0,13.75
