,Year,intersection,health,climate
0,2011,0.0,6.0,3.3333333333333335
1,2012,0.0,9.666666666666666,1.6666666666666667
2,2013,0.0,7.9,1.1
3,2014,0.0,7.5,0.6666666666666666
4,2015,0.0,6.857142857142857,0.8571428571428571
5,2016,0.0,6.4,2.8
6,2017,0.0,6.625,1.25
7,2018,0.125,15.125,2.5
8,2019,0.14285714285714285,19.285714285714285,4.571428571428571
9,2020,0.1111111111111111,14.222222222222221,0.7777777777777778
10,2021,0.2222222222222222,17.0,10.222222222222221
11,2022,3.272727272727273,69.18181818181819,16.636363636363637
