,Sector,intersection,health,climate
0,Banks,0.5,107.5,63.5
1,Diversified,3.0,77.5,53.5
2,Financial Services,0.0,8.0,9.0
3,Fixed Line Telecommunications,0.0,15.0,11.0
4,Food Producers,5.0,35.0,21.0
5,Forestry & Paper,0.0,0.0,6.0
6,General Retailers,1.0,91.0,33.0
7,Health Care Equipment & Ser...,3.5,158.0,14.5
8,Industrial Metals & Mining,4.0,126.0,20.0
9,Industrial Transportation,4.0,132.0,58.0
10,Oil & Gas Producers,48.0,256.0,307.0
11,Personal Goods,0.0,0.0,3.0
12,Software & Computer Services,0.0,38.0,2.0
13,Support Services,1.0,19.0,5.5
14,Technology Hardware & Equip...,0.0,0.0,4.0
15,Travel & Leisure,0.0,28.0,4.0
