,HDI Level (2021),Year,intersection,climate,health,sum
0,Medium,2011,46.0,584.0,972.0,1602.0
1,Medium,2012,33.0,461.0,1057.0,1551.0
2,Medium,2013,49.0,568.0,1219.0,1836.0
3,Medium,2014,20.0,449.0,994.0,1463.0
4,Medium,2015,64.0,627.0,1479.0,2170.0
5,Medium,2016,60.0,719.0,1429.0,2208.0
6,Medium,2017,30.0,468.0,1251.0,1749.0
7,Medium,2018,56.0,428.0,969.0,1453.0
8,Medium,2019,49.0,620.0,1069.0,1738.0
9,Medium,2020,61.0,378.0,655.0,1094.0
10,Medium,2021,118.0,905.0,1912.0,2935.0
11,Medium,2022,113.0,806.0,1770.0,2689.0
