,Sector,intersection,health,climate
0,Alternative Energy,0.0,0.0,4.0
1,Automobiles & Parts,0.0,0.0,0.0
2,Beverages,0.0,2.0,1.0
3,Chemicals,3.0,93.0,35.0
4,Construction & Materials,14.0,48.0,49.5
5,Diversified,0.0,3.0,0.0
6,Electricity,7.0,116.5,119.0
7,Electronic & Electrical Equ...,0.0,0.0,0.0
8,Food Producers,0.0,34.0,4.0
9,General Industrials,0.43,14.43,6.0
10,Health Care Equipment & Ser...,0.0,4.0,0.0
11,Household Goods & Home Cons...,0.0,1.0,0.0
12,Industrial Metals & Mining,1.0,66.33,24.33
13,Media,0.0,11.5,8.5
14,Mining,4.0,94.0,34.0
15,Oil & Gas Producers,4.67,67.17,36.17
16,Pharmaceuticals & Biotechno...,3.0,107.33,21.33
17,Software & Computer Services,3.2,53.4,12.4
18,Support Services,3.33,11.33,3.67
