,index,LC_grouping,Year,intersection,climate,health,sum
0,0,Asia,2011,46.0,584.0,972.0,1602.0
1,1,Asia,2012,33.0,461.0,1057.0,1551.0
2,2,Asia,2013,49.0,568.0,1219.0,1836.0
3,3,Asia,2014,20.0,449.0,994.0,1463.0
4,4,Asia,2015,64.0,627.0,1479.0,2170.0
5,5,Asia,2016,60.0,719.0,1429.0,2208.0
6,6,Asia,2017,30.0,468.0,1251.0,1749.0
7,7,Asia,2018,56.0,428.0,969.0,1453.0
8,8,Asia,2019,49.0,620.0,1069.0,1738.0
9,9,Asia,2020,61.0,378.0,655.0,1094.0
10,10,Asia,2021,118.0,905.0,1912.0,2935.0
11,11,Asia,2022,113.0,806.0,1770.0,2689.0
