,Sector,intersection,health,climate
0,Alternative Energy,3.0,15.0,20.0
1,Diversified,0.0,10.0,2.0
2,Electricity,3.0,96.0,67.0
3,Equity Investment Instruments,0.0,19.0,0.0
4,Financial Services,0.0,16.0,1.67
5,Food Producers,0.0,2.0,0.0
6,"Gas, Water & Multiutilities",0.0,4.0,2.0
7,General Industrials,0.75,17.25,3.75
8,General Retailers,0.0,8.5,1.0
9,Media,0.0,0.0,0.0
10,Mining,1.0,174.0,21.0
11,"Oil Equipment, Services & D...",0.0,7.0,1.0
12,Personal Goods,1.0,122.0,27.0
13,Real Estate Investment & Se...,16.0,127.0,65.0
14,Software & Computer Services,0.0,4.5,0.0
15,Support Services,0.5,11.5,0.5
