,Sector,intersection,climate,health
0,Alternative Energy,0.0,1.0,0.0
1,Banks,8.0,568.0,957.0
2,Construction & Materials,1.0,1.0,11.0
3,Diversified,1.0,15.0,29.0
4,Fixed Line Telecommunications,2.0,88.0,107.0
5,Food Producers,8.0,74.0,479.0
6,General Industrials,0.0,1.0,7.0
7,Industrial Engineering,0.0,20.0,20.0
8,Oil & Gas Producers,0.0,6.0,18.0
9,Personal Goods,0.0,10.0,0.0
10,Pharmaceuticals & Biotechno...,17.0,69.0,1120.0
11,Real Estate Investment & Se...,3.0,93.0,160.0
12,Software & Computer Services,0.0,2.0,45.0
13,Technology Hardware & Equip...,0.0,13.0,12.0
