,index,LC_grouping,Year,intersection,climate,health,sum
0,0,Europe,2011,6.0,286.0,572.0,864.0
1,1,Europe,2012,31.0,485.0,1235.0,1751.0
2,2,Europe,2013,19.0,312.0,665.0,996.0
3,3,Europe,2014,35.0,219.0,784.0,1038.0
4,4,Europe,2015,21.0,301.0,724.0,1046.0
5,5,Europe,2016,37.0,226.0,637.0,900.0
6,6,Europe,2017,26.0,432.0,749.0,1207.0
7,7,Europe,2018,25.0,426.0,1060.0,1511.0
8,8,Europe,2019,40.0,753.0,1751.0,2544.0
9,9,Europe,2020,55.0,954.0,1909.0,2918.0
10,10,Europe,2021,193.0,1960.0,5358.0,7511.0
11,11,Europe,2022,221.0,2849.0,6123.0,9193.0
