,Sector,Climate,Health,Intersection,Year
0,Automobiles & Parts,0.87,0.85,0.59,2022
1,Banks,1.0,1.0,0.52,2022
2,Beverages,0.96,1.0,0.75,2022
3,Chemicals,0.93,0.97,0.6,2022
4,Construction & Materials,0.82,0.81,0.51,2022
5,Diversified,0.82,0.86,0.65,2022
6,Electricity,1.0,1.0,0.0,2022
7,Electronic & Electrical Equ...,0.88,0.86,0.36,2022
8,Financial Services,0.95,0.94,0.54,2022
9,Food Producers,0.9,0.96,0.54,2022
10,Forestry & Paper,0.81,0.94,0.33,2022
11,"Gas, Water & Multiutilities",1.0,1.0,0.6,2022
12,General Industrials,0.85,0.87,0.4,2022
13,General Retailers,0.71,0.78,0.33,2022
14,Health Care Equipment & Ser...,0.9,0.73,0.44,2022
15,Household Goods & Home Cons...,0.9,0.98,0.59,2022
16,Industrial Engineering,0.97,0.97,0.13,2022
17,Industrial Metals & Mining,0.82,0.88,0.27,2022
18,Industrial Transportation,0.84,0.84,0.45,2022
19,Leisure Goods,0.78,0.81,0.44,2022
20,Life Insurance,0.91,0.89,0.4,2022
21,Media,0.65,0.67,0.14,2022
22,Nonlife Insurance,0.0,0.0,0.0,2022
23,Oil & Gas Producers,0.95,0.96,0.53,2022
24,Personal Goods,0.3,0.7,0.09,2022
25,Pharmaceuticals & Biotechno...,0.92,0.98,0.8,2022
26,Real Estate Investment & Se...,0.8,0.84,0.48,2022
27,Real Estate Investment Trusts,1.0,1.0,1.0,2022
28,Software & Computer Services,0.64,0.76,0.28,2022
29,Support Services,0.65,0.63,0.23,2022
30,Technology Hardware & Equip...,0.95,0.91,0.47,2022
31,Travel & Leisure,0.85,0.92,0.27,2022
