,WHO,Year,intersection,climate,health,sum
0,Eastern Mediterranean,2011,2.0,16.0,65.0,83.0
1,Eastern Mediterranean,2012,0.0,8.0,21.0,29.0
2,Eastern Mediterranean,2013,1.0,44.0,78.0,123.0
3,Eastern Mediterranean,2014,0.0,1.0,8.0,9.0
4,Eastern Mediterranean,2015,0.0,4.0,13.0,17.0
5,Eastern Mediterranean,2016,0.0,12.0,18.0,30.0
6,Eastern Mediterranean,2017,0.0,2.0,25.0,27.0
7,Eastern Mediterranean,2018,1.0,25.0,39.0,65.0
8,Eastern Mediterranean,2019,0.0,7.0,36.0,43.0
9,Eastern Mediterranean,2020,0.0,7.0,23.0,30.0
10,Eastern Mediterranean,2021,0.0,7.0,44.0,51.0
11,Eastern Mediterranean,2022,2.0,27.0,64.0,93.0
