,Sector,intersection,health,climate
0,Aerospace & Defense,0.0,13.0,0.0
1,Banks,4.0,197.0,72.0
2,Beverages,1.0,6.0,6.67
3,Chemicals,6.0,34.0,11.0
4,Construction & Materials,0.0,6.0,0.0
5,Diversified,1.0,68.0,4.25
6,Electronic & Electrical Equ...,0.33,9.0,4.0
7,Financial Services,2.0,7.5,4.0
8,Fixed Line Telecommunications,6.0,19.0,24.0
9,Food Producers,0.6,28.5,6.0
10,Forestry & Paper,0.0,3.0,1.5
11,Health Care Equipment & Ser...,5.0,45.5,2.5
12,Mobile Telecommunications,0.67,24.0,0.33
13,Pharmaceuticals & Biotechno...,0.0,11.0,0.0
14,Software & Computer Services,0.0,2.33,0.67
15,Support Services,0.0,15.67,0.22
16,Technology Hardware & Equip...,0.0,3.5,0.0
17,Travel & Leisure,0.0,4.0,2.0
