,Sector,intersection,climate,health
0,Alternative Energy,0.0,0.0,0.0
1,Banks,24.0,490.0,563.0
2,Construction & Materials,7.0,84.0,209.0
3,Diversified,10.0,109.0,178.0
4,Electricity,0.0,3.0,2.0
5,Equity Investment Instruments,0.0,0.0,18.0
6,Financial Services,18.0,450.0,225.0
7,Food Producers,0.0,0.0,8.0
8,"Gas, Water & Multiutilities",0.0,2.0,15.0
9,General Industrials,6.0,34.0,85.0
10,General Retailers,0.0,0.0,2.0
11,Household Goods & Home Cons...,1.0,2.0,7.0
12,Industrial Engineering,0.0,5.0,79.0
13,Industrial Transportation,4.0,26.0,63.0
14,Media,0.0,6.0,40.0
15,Mobile Telecommunications,3.0,40.0,164.0
16,Nonlife Insurance,0.0,0.0,10.0
17,Not Applicable,0.0,0.0,57.0
18,"Oil Equipment, Services & D...",0.0,0.0,2.0
19,Personal Goods,4.0,7.0,172.0
20,Real Estate Investment & Se...,0.0,35.0,26.0
21,Software & Computer Services,0.0,22.0,19.0
22,Support Services,0.0,28.0,77.0
23,Technology Hardware & Equip...,0.0,0.0,6.0
24,Travel & Leisure,0.0,0.0,0.0
