,Sector,intersection,health,climate
0,Banks,1.33,17.0,10.33
1,Construction & Materials,1.75,16.25,8.0
2,Diversified,0.33,11.0,6.33
3,Financial Services,0.0,1.67,0.67
4,Food Producers,0.0,6.0,0.0
5,"Gas, Water & Multiutilities",0.0,4.0,1.0
6,Industrial Engineering,0.0,9.0,0.0
7,Media,0.0,10.0,2.0
8,Mobile Telecommunications,0.0,40.0,8.0
9,Nonlife Insurance,0.0,0.0,0.0
10,"Oil Equipment, Services & D...",0.0,2.0,0.0
11,Personal Goods,1.0,15.0,1.0
12,Software & Computer Services,0.0,3.0,1.0
13,Support Services,0.0,4.0,0.17
14,Technology Hardware & Equip...,0.0,4.0,0.0
