,index,LC_grouping,Year,intersection,climate,health,sum
0,0,Europe,2011,8.0,153.0,251.0,412.0
1,1,Europe,2012,8.0,114.0,201.0,323.0
2,2,Europe,2013,3.0,162.0,207.0,372.0
3,3,Europe,2014,4.0,132.0,210.0,346.0
4,4,Europe,2015,2.0,147.0,326.0,475.0
5,5,Europe,2016,6.0,157.0,302.0,465.0
6,6,Europe,2017,3.0,110.0,241.0,354.0
7,7,Europe,2018,3.0,61.0,248.0,312.0
8,8,Europe,2019,3.0,55.0,124.0,182.0
9,9,Europe,2020,3.0,48.0,128.0,179.0
10,10,Europe,2021,6.0,112.0,331.0,449.0
11,11,Europe,2022,14.0,274.0,496.0,784.0
