,Sector,intersection,climate,health
0,Alternative Energy,8.0,106.0,19.0
1,Banks,1.0,42.0,6.0
2,Construction & Materials,6.0,160.0,312.0
3,Electronic & Electrical Equ...,6.0,9.0,109.0
4,Financial Services,4.0,65.0,32.0
5,Forestry & Paper,0.0,6.0,0.0
6,General Industrials,36.0,136.0,448.0
7,General Retailers,1.0,6.0,44.0
8,Health Care Equipment & Ser...,3.0,14.0,15.0
9,Household Goods & Home Cons...,15.0,97.0,140.0
10,Industrial Engineering,29.0,82.0,232.0
11,Industrial Transportation,10.0,18.0,12.0
12,Media,0.0,6.0,13.0
13,Mobile Telecommunications,21.0,227.0,126.0
14,Oil & Gas Producers,0.0,13.0,29.0
15,"Oil Equipment, Services & D...",12.0,61.0,109.0
16,Pharmaceuticals & Biotechno...,6.0,11.0,25.0
17,Real Estate Investment & Se...,7.0,32.0,121.0
18,Real Estate Investment Trusts,11.0,66.0,121.0
19,Software & Computer Services,0.0,4.0,2.0
20,Support Services,28.0,257.0,370.0
21,Technology Hardware & Equip...,0.0,0.0,0.0
