Year,Companies (N),Climate (N),Health (N),Intersection (N),Climate (Prop),Health (Prop),Intersection (Prop)
2011,52,30,41,10,0.58,0.79,0.19
2012,67,38,52,8,0.57,0.78,0.12
2013,101,57,79,10,0.56,0.78,0.1
2014,138,66,108,19,0.48,0.78,0.14
2015,153,67,119,21,0.44,0.78,0.14
2016,188,66,141,21,0.35,0.75,0.11
2017,191,82,151,22,0.43,0.79,0.12
2018,190,81,155,19,0.43,0.82,0.1
2019,165,82,139,18,0.5,0.84,0.11
2020,150,87,126,35,0.58,0.84,0.23
2021,234,142,207,59,0.61,0.88,0.25
2022,229,146,198,61,0.64,0.86,0.27
