,Year,LC_grouping,Climate,Health,Intersection
0,2013,South and Central America,0.5,1.0,0.0
1,2014,South and Central America,0.33,1.0,0.0
2,2015,South and Central America,0.33,1.0,0.0
3,2016,South and Central America,0.0,1.0,0.0
4,2017,South and Central America,0.0,1.0,0.0
5,2018,South and Central America,0.33,1.0,0.0
6,2019,South and Central America,0.5,1.0,0.5
7,2020,South and Central America,0.0,0.5,0.0
8,2021,South and Central America,0.4,0.8,0.2
9,2022,South and Central America,0.5,0.83,0.17
