,WHO,Year,intersection,climate,health,sum
0,Eastern Mediterranean,2011,0.0,0.0,3.0,3.0
1,Eastern Mediterranean,2012,8.0,6.0,237.0,251.0
2,Eastern Mediterranean,2015,0.0,0.0,0.0,0.0
3,Eastern Mediterranean,2016,0.0,1.0,39.0,40.0
4,Eastern Mediterranean,2017,0.0,20.0,46.0,66.0
5,Eastern Mediterranean,2018,0.0,9.0,58.0,67.0
6,Eastern Mediterranean,2019,2.0,30.0,22.0,54.0
7,Eastern Mediterranean,2020,0.0,9.0,18.0,27.0
8,Eastern Mediterranean,2021,1.0,27.0,59.0,87.0
9,Eastern Mediterranean,2022,6.0,86.0,209.0,301.0
